Time_s,Available_kW,ToAuxiliary_kW,ToActiveBattery_kW,ResistorLoadBank_kW,ActiveBatterySOE_pct
0,152.02571250233,9.0595041322314,0,142.966208370098,95
1,152.02571250233,9.0595041322314,0,142.966208370098,95
2,152.02571250233,9.0595041322314,0,142.966208370098,95
3,152.02571250233,9.0595041322314,0,142.966208370098,95
4,152.02571250233,9.0595041322314,0,142.966208370098,95
5,152.02571250233,9.0595041322314,0,142.966208370098,95
6,152.02571250233,9.0595041322314,0,142.966208370098,95
7,152.02571250233,9.0595041322314,0,142.966208370098,95
8,152.02571250233,9.0595041322314,0,142.966208370098,95
9,152.02571250233,9.0595041322314,0,142.966208370098,95
10,152.02571250233,9.0595041322314,0,142.966208370098,95
11,152.02571250233,9.0595041322314,0,142.966208370098,95
12,152.02571250233,9.0595041322314,0,142.966208370098,95
13,152.02571250233,9.0595041322314,0,142.966208370098,95
14,152.02571250233,9.0595041322314,0,142.966208370098,95
15,152.02571250233,9.0595041322314,0,142.966208370098,95
16,152.02571250233,9.0595041322314,0,142.966208370098,95
17,152.02571250233,9.0595041322314,0,142.966208370098,95
18,152.02571250233,9.0595041322314,0,142.966208370098,95
19,152.02571250233,9.0595041322314,0,142.966208370098,95
20,152.02571250233,9.0595041322314,0,142.966208370098,95
21,152.02571250233,9.0595041322314,0,142.966208370098,95
22,152.02571250233,9.0595041322314,0,142.966208370098,95
23,152.02571250233,9.0595041322314,0,142.966208370098,95
24,152.02571250233,9.0595041322314,0,142.966208370098,95
25,152.02571250233,9.0595041322314,0,142.966208370098,95
26,152.02571250233,9.0595041322314,0,142.966208370098,95
27,152.02571250233,9.0595041322314,0,142.966208370098,95
28,152.02571250233,9.0595041322314,0,142.966208370098,95
29,152.02571250233,9.0595041322314,0,142.966208370098,95
30,152.02571250233,9.0595041322314,0,142.966208370098,95
31,152.02571250233,9.0595041322314,0,142.966208370098,95
32,152.02571250233,9.0595041322314,0,142.966208370098,95
33,152.02571250233,9.0595041322314,0,142.966208370098,95
34,152.02571250233,9.0595041322314,0,142.966208370098,95
35,152.02571250233,9.0595041322314,0,142.966208370098,95
36,152.02571250233,9.0595041322314,0,142.966208370098,95
37,152.02571250233,9.0595041322314,0,142.966208370098,95
38,152.02571250233,9.0595041322314,0,142.966208370098,95
39,152.02571250233,9.0595041322314,0,142.966208370098,95
40,152.02571250233,9.0595041322314,0,142.966208370098,95
41,152.02571250233,9.0595041322314,0,142.966208370098,95
42,152.02571250233,9.0595041322314,0,142.966208370098,95
43,152.02571250233,9.0595041322314,0,142.966208370098,95
44,152.02571250233,9.0595041322314,0,142.966208370098,95
45,152.02571250233,9.0595041322314,0,142.966208370098,95
46,152.02571250233,9.0595041322314,0,142.966208370098,95
47,152.02571250233,9.0595041322314,0,142.966208370098,95
48,152.02571250233,9.0595041322314,0,142.966208370098,95
49,152.02571250233,9.0595041322314,0,142.966208370098,95
50,152.02571250233,9.0595041322314,0,142.966208370098,95
51,152.02571250233,9.0595041322314,0,142.966208370098,95
52,152.02571250233,9.0595041322314,0,142.966208370098,95
53,152.02571250233,9.0595041322314,0,142.966208370098,95
54,152.02571250233,9.0595041322314,0,142.966208370098,95
55,152.02571250233,9.0595041322314,0,142.966208370098,95
56,152.02571250233,9.0595041322314,0,142.966208370098,95
57,152.02571250233,9.0595041322314,0,142.966208370098,95
58,152.02571250233,9.0595041322314,0,142.966208370098,95
59,152.02571250233,9.0595041322314,0,142.966208370098,95
60,152.02571250233,9.0595041322314,0,142.966208370098,95
