Time_s,Speed_kmh,WheelDemand_kW,MotorDC_kW,Auxiliary_kW,Battery1SOE_pct,Battery2SOE_pct,Genset_kW,RegenAvailable_kW,RegenToAuxiliary_kW,RegenToActiveBattery_kW,ResistorLoadBank_kW,ActiveBattery,Mode,BalanceResidual_kW
0,0,-0,-0,9.96545454545455,85,20,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
10,0,-0,-0,9.96545454545455,84.9857750163505,20.1649267676768,123.181818181818,0,0,0,0,1,3,1.77635683940025e-15
20,23.7,8.49831156384368,9.08786623136184,9.0595041322314,84.9505726063435,20.3298535353535,123.181818181818,0,0,0,0,1,3,-7.105427357601e-15
30,19.02,-79.7192785344334,-69.0492154629564,9.0595041322314,84.9756462249506,20.4947803030303,123.181818181818,69.0492154629564,9.0595041322314,59.989711330725,0,1,6,0
40,14.1,51.6105397397283,55.1909256043913,9.0595041322314,84.9248036085694,20.659707070707,123.181818181818,0,0,0,0,1,3,0
50,2.60250000000096,-6.51932211628422,-5.64674048430192,9.0595041322314,84.8638515531844,20.8246338383838,123.181818181818,5.64674048430192,5.64674048430192,0,0,1,3,-3.5527136788005e-15
60,10.8,75.0483788280607,80.2547214874657,9.0595041322314,84.8399654695705,20.9895606060606,123.181818181818,0,0,0,0,1,3,0
70,37.1,-32.5777611741398,-28.2173759217138,9.0595041322314,84.680316078352,21.1544873737373,123.181818181818,28.2173759217138,9.0595041322314,19.1578717894824,0,1,6,0
80,33.6,-30.4627413382039,-26.3854418770914,9.0595041322314,84.7557287816781,21.3194141414141,123.181818181818,26.3854418770914,9.0595041322314,17.32593774486,0,1,6,7.105427357601e-15
90,33.8,60.6128995166571,64.8178074625942,9.0595041322314,84.6983259383039,21.4843409090908,123.181818181818,0,0,0,0,1,3,1.4210854715202e-14
100,33.8,37.0725210148472,39.6443586836327,9.0595041322314,84.6154683462722,21.6492676767676,123.181818181818,0,0,0,0,1,3,1.4210854715202e-14
110,24.44,-138.508239641353,-119.969541348266,9.0595041322314,84.5750705670357,21.8141944444444,123.181818181818,119.969541348266,9.0595041322314,110.910037216034,0,1,6,0
