MassID,TotalVehicleMass_kg,CostPer_km,GridEnergy_kWh,Fuel_L,UnmetEnergy_kWh
MASS-01,19000,2.99798307253981,69.1756641165981,43.6239719900664,0
MASS-02,22700,3.07560628327793,76.8966414008057,43.6239719900664,0.00401328715599675
MASS-03,26500,3.16029979922748,85.3208834097117,43.6239719900664,0.0915568152266105
MASS-04,30200,3.24658259325979,93.9032067432443,43.6239719900664,0.387963356027529
MASS-05,33900,3.33291386173284,102.490351702322,43.6239719900664,1.1283680087384
MASS-06,37600,3.41694955209378,110.849161524407,43.6239719900664,2.42425632856578
MASS-07,41400,3.50138570454193,105.180741400008,46.3034125349224,4.32778085597303
MASS-08,45100,3.56457744686318,91.5999218798936,50.0874766249687,6.71067959072498
MASS-09,48800,3.61414097065781,81.0894571880684,53.0285087152072,9.62900795197661
MASS-10,52500,3.69307115982158,64.1452364911619,57.7514038959484,13.0624035698129
MASS-11,56300,3.72912867773075,56.3149266169368,59.926043259089,17.0391868647531
MASS-12,60000,3.7613344319519,49.560033064754,61.8228652586565,21.4240330339861
