RouteID,RouteName,SourceDistance_km,SimDistance_km,CostPer_km,Fuel_L,UnmetEnergy_kWh,FinalB1SOE_pct,FinalB2SOE_pct
EUR-BER-VIE,"Berlin, Germany to Vienna, Austria",677.8177,677.384935277455,0.252484637825482,81.4425190723647,737.193694082853,95,63.1174549494416
EUR-HAM-PAR,"Hamburg, Germany to Paris, France",903.0361,902.17583221824,0.189574231479295,81.4425190723647,1099.20723772994,95,75.5403240215322
EUR-MUC-ROM,"Munich, Germany to Rome, Italy",915.8953,914.989810349667,0.186919338464115,81.4425190723647,1098.19109441443,95,77.6535660229977
EUR-AMS-ZRH,"Amsterdam, Netherlands to Zurich, Switzerland",821.3774,820.892064334483,0.177052276347172,55.3755864419447,981.573213248946,50.1375074828011,91.6230134020035
EUR-STO-CPH,"Stockholm, Sweden to Copenhagen, Denmark",656.7745,656.347972378848,0.23188898622475,65.6835686214125,710.414462007902,67.8827538152379,87.3038977109731
EUR-PRG-BRU,"Prague, Czechia to Brussels, Belgium",907.5635,906.754389068983,0.176547479492628,76.2310485280985,1137.65597787571,86.041487569552,88.1022917772823
EUR-WAW-PRG,"Warsaw, Poland to Prague, Czechia",638.3335,638.130587862745,0.268016129151221,81.4425190723647,646.294120863946,95,53.1858104363893
EUR-FRA-MIL,"Frankfurt, Germany to Milan, Italy",664.9363,664.789433399305,0.257268364175755,81.4425190723647,734.250780909919,95,78.4020029602446
