Parameter,Perturbation_pct,LowCost_EUR_per_km,HighCost_EUR_per_km,CostSwing_pct,LowEnergy_kWh_per_km,HighEnergy_kWh_per_km,EnergySwing_pct
Auxiliary-load scalar,20,4.39676274679667,4.48540555788087,1.99597869349041,8.95181501876098,9.17342204647146,2.44529648587021
Total vehicle mass,10,4.40904537614999,4.4734733325729,1.4507304846538,8.98252159214428,9.14359148320154,1.77730662538545
Rolling resistance coefficient,10,4.42637961630842,4.45574155744129,0.661145649420705,9.02585719254034,9.09926204537253,0.809977149780939
Aerodynamic drag coefficient,10,4.43137016011944,4.45080426859698,0.437599687709729,9.03833355206789,9.08691882326175,0.536108417421669
Motor motoring efficiency,3,4.44107000607211,4.44107000607211,0,9.06258316694958,9.06258316694958,0
Battery discharge efficiency,3,4.46898807668937,4.41757944242593,-1.1575731567651,9.13237834349271,9.00385675783412,-1.41815620658025
