Signal,MaxAbsoluteError,RMSError,Tolerance,Unit,Status
Vehicle speed,0,0,0.02,m/s,PASS
Wheel demand,114.626282735358,13.9876878252606,5,kW,FAIL
Motor DC power,129.965995732256,22.4914496004619,8,kW,FAIL
Auxiliary power,0,0,0.05,kW,PASS
Battery 1 SOE,0.166340836416496,0.0983644938275386,0.025,fraction,FAIL
Battery 2 SOE,0.0465166132159457,0.0202628272830223,0.025,fraction,FAIL
Genset power,123.181818181818,23.1418340296467,1,kW,FAIL
Total fuel,2.75607981756584,2.75607981756584,0.1,L,FAIL
Energy-balance integral,0.131047310220169,0.658491725377052,0.01,kWh,FAIL
