Evaluation,Battery1ID,Battery2ID,MotorID,GensetID,TyreID,FinalDriveID,MassID,AuxID,RouteID,ControlID,Feasible,RejectionReason,CostPer_km,Fuel_L_per_100km,Electrical_kWh_per_km,TotalSourceEnergy_kWh_per_km,FinalBattery1SOE,FinalBattery2SOE,UnmetTractionEnergy_kWh,EstimatedVehicleMass_kg
32,BAT-08,fixed,MOT-03,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
33,BAT-09,fixed,MOT-03,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
34,BAT-10,fixed,MOT-03,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
35,BAT-11,fixed,MOT-03,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
36,BAT-12,fixed,MOT-03,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
37,BAT-01,fixed,MOT-04,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.223148862113651,0,1.23971590063139,1.23971590063139,0.790248668907728,0.758305974907694,0,17877.2727272727
38,BAT-02,fixed,MOT-04,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.222823765122627,0,1.23790980623682,1.23790980623682,0.79530774179601,0.758345737573048,0,17931.8181818182
39,BAT-03,fixed,MOT-04,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.222500949647384,0,1.23611638692991,1.23611638692991,0.799587978855567,0.758385540970512,0,17986.3636363636
40,BAT-04,fixed,MOT-04,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.222180175155164,0,1.23433430641758,1.23433430641758,0.803256324083078,0.758425344367975,0,18040.9090909091
41,BAT-05,fixed,MOT-04,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.221861966194189,0,1.23256647885661,1.23256647885661,0.806435052844351,0.758465249283702,0,18095.4545454545
42,BAT-06,fixed,MOT-04,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.221546193443379,0,1.23081218579655,1.23081218579655,0.809215992033273,0.758505177945614,0,18150
43,BAT-07,fixed,MOT-04,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.221232441384499,0,1.22906911880277,1.22906911880277,0.811669411802088,0.758545106607526,0,18204.5454545455
44,BAT-08,fixed,MOT-04,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
45,BAT-09,fixed,MOT-04,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
46,BAT-10,fixed,MOT-04,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
47,BAT-11,fixed,MOT-04,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
48,BAT-12,fixed,MOT-04,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
49,BAT-01,fixed,MOT-05,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.222216022108889,0,1.2345334561605,1.2345334561605,0.790498450293359,0.758481433834716,0,17895.4545454545
50,BAT-02,fixed,MOT-05,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.221891577536206,0,1.23273098631225,1.23273098631225,0.795536547929607,0.758521845277988,0,17950
51,BAT-03,fixed,MOT-05,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.221569707728101,0,1.23094282071167,1.23094282071167,0.799798970257626,0.758562352616159,0,18004.5454545455
52,BAT-04,fixed,MOT-05,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.221249872924088,0,1.22916596068938,1.22916596068938,0.803452046973132,0.758602859954329,0,18059.0909090909
53,BAT-05,fixed,MOT-05,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.220932277058306,0,1.22740153921281,1.22740153921281,0.806617607154,0.75864339565561,0,18113.6363636364
54,BAT-06,fixed,MOT-05,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.220617462644325,0,1.22565257024625,1.22565257024625,0.809386960280206,0.758684028917135,0,18168.1818181818
55,BAT-07,fixed,MOT-05,fixed,fixed,fixed,fixed,fixed,fixed,fixed,1,,0.220304619928036,0,1.22391455515576,1.22391455515576,0.811830165541216,0.758724662178658,0,18222.7272727273
56,BAT-08,fixed,MOT-05,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
57,BAT-09,fixed,MOT-05,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
58,BAT-10,fixed,MOT-05,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
59,BAT-11,fixed,MOT-05,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
60,BAT-12,fixed,MOT-05,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
61,BAT-01,fixed,MOT-06,fixed,fixed,fixed,fixed,fixed,fixed,fixed,0,DC voltage incompatibility,Inf,Inf,Inf,Inf,NaN,NaN,Inf,NaN
